EE Code,Fund Code,Fund Code Desc
A1L8,638-20,Behavioral Health Services
A0US,524-20,Dss Ceap Admin
A0TL,UNA,Unassigned
A1Q6,524-26,DSS CEAP Admin
A0D5,UNA,Unassigned
A0PA,669-18,CRT Local Unrestricted
A0B1,583-21,HUD Rapid Housing
A05L,661-18,ACF HeadStart PA22
A1WY,661-18,ACF HeadStart PA22
A1X4,638-19,Behavioral Health Services
A1RP,661-18,ACF HeadStart PA22
A1V6,UNA,Unassigned
A1XE,339-25,HUD Permanent Supportive Housing
A162,524-23,DSS CEAP Admin
A1UN,UNA,Unassigned
A1DG,UNA,Unassigned
A01T,554-19,A Program Salaries
A02K,419-19,Coh Sr Full Day
A0MV,605C-19,Congregate
A0MJ,661-18,ACF HeadStart PA22
A14D,619-17,DPH HIV Counseling
A1HJ,699,Crt Local Unrestricted
A0GT,609-18,Dss Csbg
A0SH,699,Crt Local Unrestricted
A0FB,699,Crt Local Unrestricted
A096,UNA,Unassigned
A0KE,UNA,Unassigned
A138,605HD-22,Home Delivered
A0D2,UNA,Unassigned
A0D9,UNA,Unassigned
A0F6,650-22,Retreat
A0F4,524-22,Dss Ceap Admin
A10H,524-21,Dss Ceap Admin
A1DB,UNA,Unassigned
A0XV,524-22,Dss Ceap Admin
A1IY,661-18,ACF HeadStart PA22
A0UO,332-24,Healthy Families
A10U,661-17,ACF HeadStart PA22
A0LB,UNA,Unassigned
A218,609ACB-26,DSS CSBG Agency Capacity Building
A0CE,659-17,salaries 2017
A1BO,650-21,Retreat
A1BN,UNA,Unassigned
A198,UNA,Unassigned
A0QP,524-17,Dss Ceap Admin
A04J,699,Crt Local Unrestricted
A1GC,669-17,CRT Local Unrestricted
A0L1,UNA,Unassigned
A14H,419-25,COH SR Full Day
A0SX,661-18,ACF HeadStart PA22
A1IK,363RIT-26,Ritter
A1LV,419-17,Coh Sr Full Day
A05R,544-22,Oec Infanty Daycare
A0SZ,UNA,Unassigned
A06Q,669-18,CRT Local Unrestricted
A1BE,UNA,Unassigned
A1XS,659-17,salaries 2017
A1FM,UNA,Unassigned
A1UU,419-20,Coh Sr Full Day
A0LK,661-18,ACF HeadStart PA22
A1VJ,659-18,salaries 2017
A00S,UNA,Unassigned
A1S7,UNA,Unassigned
A15U,UNA,Unassigned
A1LW,321-23,Htfd Health Community Responders
A1X1,605HD-21,Home Delivered
A1P0,363JOB-26,Job Corps
A1WI,699,Crt Local Unrestricted
A1ZL,524-22,Dss Ceap Admin
A15Q,564C-23,ENP Midstate Region Congregate
A05S,UNA,Unassigned
A0TA,UNA,Unassigned
A0P0,UNA,Unassigned
A0HQ,650-23,Retreat
A0C2,419-17,Coh Sr Full Day
A0O5,UNA,Unassigned
A0NZ,338-24,DHMAS Fatherhood Initiative Program
A13H,699,Crt Local Unrestricted
A0HC,419-17,Coh Sr Full Day
A0Z7,UNA,Unassigned
A1P5,699,Crt Local Unrestricted
A0KD,524-22,Dss Ceap Admin
A1R4,611-17,Dss His
A0U4,359-25,OEC Registered Apprenticeship
A0PN,UNA,Unassigned
A0H6,UNA,Unassigned
A0N9,UNA,Unassigned
A1RZ,UNA,Unassigned
A0CR,UNA,Unassigned
A1B7,524-22,Dss Ceap Admin
A0IX,UNA,Unassigned
A0QG,546-23,DSS Assurance 16
A1XJ,UNA,Unassigned
A0BJ,564HD-23,ENP Midstate Region Home Delivered
A04M,UNA,Unassigned
A0UQ,609-20,CSBG
A1TA,339-26,HUD Permanent Supportive Housing
A0II,669-18,CRT Local Unrestricted
A0H4,UNA,Unassigned
A1OS,UNA,Unassigned
A1J4,UNA,Unassigned
A1KQ,609-18,Dss Csbg
A1SA,524-17,Dss Ceap Admin
A1C9,412-17,Summer Youth
A1DI,UNA,Unassigned
A0CW,659-18,salaries 2017
A104,564-17,Enp Midstate Region
A1PN,415-19,Oec Headstart Enhancement
A0GK,605-17,Elderly Nutrition
A09G,650-22,Retreat
A1NS,613-26,DSS Limited English
A1B0,UNA,Unassigned
A0N6,638-22,Behavioral Health Services
A1AI,UNA,Unassigned
A16J,605C-21,Congregate
A1SZ,534-20,Doh Hopwa Mckinney
A0HB,699,Crt Local Unrestricted
A0C4,UNA,Unassigned
A1P6,UNA,Unassigned
A0J0,UNA,Unassigned
A1LS,699,Crt Local Unrestricted
A0CT,UNA,Unassigned
A0ZQ,669-18,CRT Local Unrestricted
A1XU,UNA,Unassigned
A16G,564C-20,Congregate
A00I,337CC-24,Project Longevity Care Coordination
A11M,524-24,DSS CEAP Admin
A0IU,419-19,Coh Sr Full Day
A1U2,699,Crt Local Unrestricted
A1X8,544-19,Oec Infanty Daycare
A0QY,599-25,SAMSHA 2.0
A1ZU,669-17,CRT Local Unrestricted
A1MX,UNA,Unassigned
A1OG,524-25,DSS CEAP Admin
A0QO,661-17,ACF HeadStart PA22
A1P2,699,Crt Local Unrestricted
A01M,UNA,Unassigned
A0DF,UNA,Unassigned
A03H,UNA,Unassigned
A1QI,UNA,Unassigned
A1SR,UNA,Unassigned
A0SQ,382-20,CRT PSH Consolidated
A1LR,UNA,Unassigned
A060,546-19,Dss Assurance 16
A1KA,661-18,ACF HeadStart PA22
A1K7,UNA,Unassigned
A0V6,699,Crt Local Unrestricted
A1L3,524EI-22,Ceap Early Intake
A0KA,524EI-25,DSS CEAP Early Intake
A0U6,419-19,Coh Sr Full Day
A18T,UNA,Unassigned
A1CQ,330-23,OEC Workforce Pipeline
A0UJ,UNA,Unassigned
A1Q0,699,Crt Local Unrestricted
A1GN,UNA,Unassigned
A1OQ,638-21,Behavioral Health Services
A1ZY,661-18,ACF HeadStart PA22
A1NU,UNA,Unassigned
A03Q,605HD-22,Home Delivered
A05I,605C-20,Congregate
A02B,UNA,Unassigned
A18S,UNA,Unassigned
A0UK,UNA,Unassigned
A1M8,650-19,Retreat
A0OK,524-18,Dss Ceap Admin
A0AS,603-24,Hes IE
A1YB,UNA,Unassigned
A0IV,363JOB-26,Job Corps
A18W,UNA,Unassigned
A0UN,419-18,Coh Sr Full Day
A1UX,363RIT-26,Ritter
A0O9,524-21,Dss Ceap Admin
A20O,524EI-25,DSS CEAP Early Intake
A1KL,699,Crt Local Unrestricted
A0HN,669-18,CRT Local Unrestricted
A0QM,650-21,Retreat
A0FD,419-22,Coh Sr Full Day
A0ZC,609-18,Dss Csbg
A0YH,419-22,Coh Sr Full Day
A17E,524-18,Dss Ceap Admin
